,Name1,Percent_Change1,Symbol1,Industry1,Name2,Percent_Change2,Symbol2,Industry2,Name3,Percent_Change3,Symbol3,Industry3,Name4,Percent_Change4,Symbol4,Industry4,Name5,Percent_Change5,Symbol5,Industry5,Name6,Percent_Change6,Symbol6,Industry6,Name7,Percent_Change7,Symbol7,Industry7,Name8,Percent_Change8,Symbol8,Industry8,Name9,Percent_Change9,Symbol9,Industry9
11,CHEUNG WOH TECHNOLOGIES LTD,10.71428571,C50.SI,Industrials,CHALLENGER TECHNOLOGIES LTD,-11.47540984,573.SI,Consumer Discretionary,ARION ENTERTAINMENT SING LTD ,-6.060606061,5VU.SI,Consumer Discretionary,CASA HOLDINGS LIMITED ,1.234567901,C04.SI,Consumer Discretionary,BRC ASIA LIMITED,163.1578947,BEC.SI,Industrials,CORTINA HOLDINGS LIMITED ,7.894736842,C41.SI,Consumer Discretionary,CHINA SUNSINE CHEM HLDGS LTD. ,-0.714285714,CH8.SI,Materials,CHINA MINING INTERNATIONAL LTD,-3.947368421,BHD.SI,Materials,CHINA JISHAN HOLDINGS LIMITED,0,J18.SI,Consumer Discretionary
12,CHINA KUNDA TECH HOLDINGS LTD,10,GU5.SI,Industrials,CHASEN HOLDINGS LIMITED ,-4.918032787,5NV.SI,Industrials,AUSGROUP LIMITED,-16.12903226,5GJ.SI,Industrials,COMPACT METAL INDUSTRIES LTD,-10,T4E.SI,Industrials,BUND CENTER INVESTMENT LTD,22.05270458,BTE.SI,Real Estate,DARCO WATER TECHNOLOGIES LTD,5,BLR.SI,Industrials,CORDLIFE GROUP LIMITED ,-8.910891089,P8A.SI,Healthcare,CIVMEC LIMITED,-28.93471748,P9D.SI,Industrials,CHINA YUANBANG PROP HLDGS LTD,5.263157895,BCD.SI,Real Estate
13,COMFORTDELGRO CORPORATION LTD,1.818181818,C52.SI,Industrials,CHINA MEDICAL ,-6.363636364,5IB.SI,Industrials,BAKER TECHNOLOGY LIMITED ,-9.302325581,BTP.SI,Energy,CSE GLOBAL LTD,4.680851064,544.SI,Information Technology,CAPTII LIMITED,14.28571429,AWV.SI,Information Technology,ELLIPSIZ LTD ,675,BIX.SI,Information Technology,COURTS ASIA LIMITED,-2.352941176,RE2.SI,Consumer Discretionary,CNMC GOLDMINE HOLDINGS LIMITED,-1.923076923,5TP.SI,Materials,CITYNEON HOLDINGS LIMITED ,-4.109589041,5HJ.SI,Industrials
14,CREATIVE TECHNOLOGY LTD,6.613756614,C76.SI,Information Technology,CHINA TAISAN TECH GRP HLDGSLTD,-13.04347826,AZW.SI,Consumer Discretionary,BOLDTEK HOLDINGS LIMITED ,-8.256880734,5VI.SI,Industrials,DELFI LIMITED,11.11111111,P34.SI,Consumer Staples,CEI LIMITED ,35.71428571,AVV.SI,Information Technology,ENGRO CORPORATION LIMITED ,9.090909091,S44.SI,Materials,DBS GROUP HOLDINGS LTD,-6.25,D05.SI,Financials,COLEX HOLDINGS LIMITED ,-9.090909091,567.SI,Industrials,COMBINE WILL INTL HLDGS LTD ,-68.75,N0Z.SI,Consumer Discretionary
15,DAIRY FARM INT'L HOLDINGS LTD,13.79310345,D01.SI,Consumer Staples,CHINESE GLOBAL INVESTORS GRP,-3.225806452,5CJ.SI,Industrials,BOUSTEAD SINGAPORE LIMITED,-7.142857143,F9D.SI,Energy,EPICENTRE HOLDINGS LIMITED ,26.66666667,5MQ.SI,Consumer Discretionary,CITIC ENVIROTECH LTD. ,4.419889503,CEE.SI,Industrials,FOOD EMPIRE HOLDINGS LIMITED,8.626198083,F03.SI,Consumer Staples,ECOWISE HOLDINGS LIMITED ,-6.666666667,5CT.SI,Industrials,CSC HOLDINGS LTD,-3.448275862,C06.SI,Industrials,COSCO SHIPPING INTL,-66.66666667,CSB.SG,Industrials
16,DISA LIMITED ,33.09608541,532.SI,Information Technology,CHIP ENG SENG CORPORATION LTD,-14,C29.SI,Industrials,CAMSING HEALTHCARE LIMITED,-4.651162791,BAC.SI,Consumer Discretionary,EXCELPOINT TECHNOLOGY LTD,13.51351351,BDF.SI,Information Technology,DEBAO PROPERTY DEVELOPMENT LTD,4.47761194,BTF.SI,Real Estate,FORISE INTERNATIONAL LIMITED ,37.34939759,I5H.SI,Consumer Discretionary,FRENCKEN GROUP LIMITED ,-2.43902439,E28.SI,Industrials,DASIN RETAIL TRUST,-0.952380952,CEDU.SI,Real Estate,COURAGE INVESTMENT GRP LIMITED ,0,CIN.SI,Industrials
17,FALCON ENERGY GROUP LIMITED,0,5FL.SI,Energy,CHUAN HUP HOLDINGS LIMITED,-6.967213115,C33.SI,Information Technology,CENTURION CORPORATION LIMITED ,-5.376344086,OU8.SI,Consumer Discretionary,F J BENJAMIN HOLDINGS LTD,3.225806452,F10.SI,Consumer Discretionary,DECLOUT LIMITED,137.5,5UZ.SI,Information Technology,GUOAN INTERNATIONAL LIMITED ,15.50387597,G11.SI,Industrials,GENTING SINGAPORE PLC ,-6.382978723,G13.SI,Consumer Discretionary,DRAGON GROUP INTL LIMITED ,6.71641791,MT1.SI,Information Technology,EDITION LTD. ,-3.333333333,5HG.SI,Consumer Staples
18,GAYLIN HOLDINGS LIMITED ,60,RF7.SI,Energy,CITY DEVELOPMENTS LIMITED ,-3.319502075,C09.SI,Real Estate,CHEMICAL INDUSTRIES FAR EAST,-19.04761905,C05.SI,Materials,FABCHEM CHINA LIMITED ,-3.968253968,BFT.SI,Materials,DELONG HOLDINGS LIMITED ,14.11764706,BQO.SI,Materials,HAFARY HOLDINGS LIMITED ,2.5,5VS.SI,Industrials,GOLDEN ENERGY AND RESOURCESLTD,-50,AUE.SI,Energy,DUKANG DISTILLERS HLDGS LTD ,2.127659574,BKV.SI,Consumer Staples,FEDERAL INT (2000),1.62601626,BDU.SI,Industrials
19,GRP LTD ,0,BLU.SI,Information Technology,CWG INTERNATIONAL LTD. ,-12,ACW.SI,Real Estate,CHINA GREAT LAND HOLDINGS LTD.,-11.66666667,D50.SI,Industrials,GEO ENERGY RESOURCES LIMITED,0,RE4.SI,Energy,FIRST RESOURCES LIMITED ,12.82051282,EB5.SI,Consumer Staples,HIAP HOE LIMITED,11.58798283,5JK.SI,Real Estate,GREAT EASTERN HLDGS LTD ,0,G07.SI,Financials,DUTECH HOLDINGS LIMITED ,0,CZ4.SI,Industrials,G. K. GOH HOLDINGS LIMITED ,-10.79365079,G41.SI,Industrials
20,GSS ENERGY LIMITED,0,41F.SI,Information Technology,CWX GLOBAL LIMITED,-22.98850575,594.SI,Energy,CHINA JINJIANG ENV HLDG CO LTD,-21.05263158,BWM.SI,Utilities,GKE CORPORATION LIMITED ,25.64102564,595.SI,Industrials,FRAGRANCE GROUP LIMITED ,5,F31.SI,Real Estate,HOR KEW CORPORATION LIMITED ,89.07103825,BBP.SI,Industrials,HAW PAR CORP LTD,-23.84615385,H02.SI,Healthcare,ENVICTUS INTERNATIONAL HLDGLTD ,18.18181818,BQD.SI,Consumer Staples,GLOBAL INVACOM GROUP LIMITED,16.66666667,QS9.SI,Information Technology
