,Name1,Percent_Change1,Symbol1,Industry1,Name2,Percent_Change2,Symbol2,Industry2,Name3,Percent_Change3,Symbol3,Industry3,Name4,Percent_Change4,Symbol4,Industry4,Name5,Percent_Change5,Symbol5,Industry5,Name6,Percent_Change6,Symbol6,Industry6,Name7,Percent_Change7,Symbol7,Industry7,Name8,Percent_Change8,Symbol8,Industry8,Name9,Percent_Change9,Symbol9,Industry9
33,KHONG GUAN LIMITED ,88.88888889,K03.SI,Consumer Staples,JARDINE CYCLE & CARRIAGE LTD,-66.66666667,C07.SI,Consumer Discretionary,HIAP TONG CORPORATION LTD.,-14.21052632,5PO.SI,Industrials,METRO HOLDINGS LIMITED ,2.325581395,M01.SI,Consumer Discretionary,JOYAS INTERNATIONAL HLDGS LTD ,2.197802198,E9L.SI,Consumer Discretionary,NATURAL COOL HOLDINGS LIMITED,30.6122449,5IF.SI,Industrials,OVERSEA-CHINESE BANKING CORP,-3.06122449,O39.SI,Financials,INNOPAC HOLDINGS LIMITED ,8.695652174,I26.SI,Financials,KS ENERGY LIMITED,0,578.SI,Industrials
34,KING WAN CORPORATION LIMITED ,21.05263158,554.SI,Industrials,KARIN TECHNOLOGY HLDGS LIMITED,-15.55555556,K29.SI,Information Technology,HL GLOBAL ENTERPRISES LIMITED ,-25.66371681,AVX.SI,Consumer Discretionary,MIDAS HLDGS LIMITED ,8.064516129,5EN.SI,Materials,LIONGOLD CORP LTD,2.941176471,A78.SI,Materials,NERATELECOMMUNICATIONS LTD ,5.723905724,N01.SI,Information Technology,PARKSON RETAIL ASIA LIMITED ,-1.219512195,O9E.SI,Consumer Discretionary,INNOTEK LIMITED,1.923076923,M14.SI,Industrials,KTL GLOBAL LIMITED,-10.71428571,EB7.SI,Industrials
35,KSH HOLDINGS LIMITED ,4.587155963,ER0.SI,Industrials,KEONG HONG HOLDINGS LIMITED,-8.256880734,5TT.SI,Industrials,HO BEE LAND LIMITED,-10.05747126,H13.SI,Real Estate,MULTI-CHEM LIMITED,4.411764706,AWZ.SI,Information Technology,MANDARIN ORIENTAL INTL LTD ,8.450704225,M04.SI,Consumer Discretionary,OLAM INTERNATIONAL LIMITED ,16.21621622,O32.SI,Consumer Staples,PROGEN HOLDINGS LTD ,-6.666666667,583.SI,Industrials,ISR CAPITAL LIMITED,-20.58823529,5EC.SI,Financials,LOW KENG HUAT,-6.944444444,F1E.SI,Industrials
36,LAFE CORPORATION LIMITED ,4.424778761,AYB.SI,Real Estate,KEPPEL INFRA TRUST WEF 2015 ,-14.05835544,A7RU.SI,Utilities,HONG LEONG ASIA LTD. ,-9.090909091,H22.SI,Industrials,NEW WAVE HOLDINGS LTD.,59.63855422,5FX.SI,Industrials,MATEX INTERNATIONAL LIMITED ,19.08396947,M15.SI,Materials,PERENNIAL REAL ESTATE HLDGSLTD,12.97709924,40S.SI,Real Estate,RAFFLES EDUCATION CORP LTD ,4.285714286,NR7.SI,Consumer Discretionary,JAPFA LTD. ,-30.48314216,UD2.SI,Consumer Staples,MAGNUS ENERGY GROUP LTD. ,-6.593406593,41S.SI,Energy
37,LCT HOLDINGS LIMITED ,17.5,BJL.SI,Information Technology,KOYO INTERNATIONAL LIMITED ,-27.27272727,5OC.SI,Industrials,HONGKONG LAND HOLDINGS LIMITED,-6.32183908,H78.SI,Real Estate,OKH GLOBAL LTD.,2.083333333,S3N.SI,Industrials,MEGACHEM LIMITED,11.70212766,5DS.SI,Industrials,PHARMESIS INTERNATIONAL LTD.,16.56441718,BFK.SI,Healthcare,RAFFLES MEDICAL GROUP LTD ,-7.01754386,BSL.SI,Healthcare,JUBILEE INDUSTRIES HLDGS LTD. ,-20,5OS.SI,Industrials,MM2 ASIA LTD.,-12.5,1B0.SI,Consumer Discretionary
38,LUXKING GROUP HOLDINGS LIMITED,7.317073171,BKK.SI,Industrials,KRISENERGY LTD.,-17.64705882,SK3.SI,Energy,HOTEL ROYAL LTD,-33.33333333,H12.SI,Consumer Discretionary,OSSIA INTERNATIONAL LTD,-5.673758865,O08.SI,Consumer Discretionary,NIPPECRAFT LIMITED,22.22222222,N32.SI,Industrials,POLLUX PROPERTIES LTD. ,37.28813559,5AE.SI,Real Estate,SINGAPORE KITCHEN EQUIPMENTLTD,-0.377358491,5WG.SI,Industrials,KATRINA GROUP LTD.,-0.869565217,1A0.SI,Consumer Discretionary,OCEANUS GROUP LIMITED ,-2.127659574,579.SI,Consumer Staples
39,MEDTECS INTERNATIONAL CORP LTD ,16.12903226,546.SI,Healthcare,LASSETERS INTL HOLDINGS LTD,-19.81132075,5EL.SI,Consumer Discretionary,HOTUNG INVESTMENT HLDGS LTD ,-20.14388489,BLS.SI,Financials,OUE LIPPO HEALTHCARE LTD,1.818181818,5WA.SI,Healthcare,NORDIC GROUP LIMITED ,74.66666667,MR7.SI,Industrials,POWERMATIC DATA SYSTEMS LTD ,4.661021186,BCY.SI,Information Technology,SINJIA LAND LIMITED,-7.692307692,5HH.SI,Materials,KEPPEL CORPORATION LIMITED ,-4,BN4.SI,Industrials,OVERSEAS EDUCATION LIMITED,7.142857143,RQ1.SI,Consumer Discretionary
40,NAUTICAWT LIMITED,10.20408163,42D.SI,Energy,LHN LIMITED ,-13.51351351,41O.SI,Real Estate,HWA HONG CORPORATION LIMITED ,-0.8,H19.SI,Real Estate,OUHUA ENERGY HOLDINGS LIMITED,7.142857143,AJ2.SI,Energy,PLATO CAPITAL LIMITED ,4.761904762,5PI.SI,Information Technology,PSL HOLDINGS LTD,50,BLL.SI,Industrials,SPACKMAN ENTERTAINMENT GRP LTD ,1.219512195,40E.SI,Consumer Discretionary,KIMHENG OFFSHORE&MARINE HLDLTD ,3.333333333,5G2.SI,Energy,PACIFIC RADIANCE LTD. ,9.230769231,T8V.SI,Energy
41,NEO GROUP LIMITED,6.382978723,5UJ.SI,Industrials,LIFEBRANDZ LTD.,-47.2972973,1D3.SI,Consumer Discretionary,HYFLUX LTD ,-17.70833333,600.SI,Utilities,PAN-UNITED CORPORATION LTD,-4.736842105,P52.SI,Industrials,REX INTERNATIONAL HOLDING LTD,1.204819277,5WH.SI,Energy,RAFFLES UNITED HOLDINGS LTD.,51.68539326,K22.SI,Industrials,SUNMOON FOOD COMPANY LIMITED,-27.27272727,AAJ.SI,Consumer Staples,LEE METAL GROUP LTD ,-1.45631068,593.SI,Materials,PNE INDUSTRIES LTD,6.451612903,BDA.SI,Information Technology
42,OLD CHANG KEE LTD.,5.294117647,5ML.SI,Consumer Staples,LION ASIAPAC LTD,-26.08695652,BAZ.SI,Materials,IEV HOLDINGS LIMITED ,-3.676470588,5TN.SI,Energy,PLASTOFORM HOLDINGS LIMITED,9.523809524,AYD.SI,Consumer Discretionary,RH PETROGAS LIMITED ,87.09677419,T13.SI,Energy,SBI OFFSHORE LIMITED ,21.95121951,5PL.SI,Industrials,TEHO INTERNATIONAL INC LTD. ,6.397306397,5OQ.SI,Industrials,LUNG KEE BERMUDA,7.865168539,L09.SI,Industrials,SARINE TECHNOLOGIES LTD,2.494954637,U77.SI,Industrials
43,PEC LTD. ,14.28571429,IX2.SI,Industrials,MDR LIMITED ,-27.5,A27.SI,Information Technology,INFINIO GROUP LIMITED ,-38.23529412,5G4.SI,Materials,PROCURRI CORPORATION LIMITED ,1.515151515,BVQ.SI,Information Technology,RHT HEALTH TRUST,63.26530612,RF1U.SI,Healthcare,SEMBCORP MARINE LTD ,2.409638554,S51.SI,Industrials,THE HOUR GLASS LIMITED ,-7.865168539,AGS.SI,Consumer Discretionary,LUZHOU BIO-CHEM TECHNOLOGY LTD,0,L46.SI,Consumer Staples,SECOND CHANCE PROPERTIES LTD,0.649350649,528.SI,Consumer Discretionary
44,PENGUIN INTERNATIONAL LIMITED ,5.882352941,BTM.SI,Industrials,MEGHMANI ORGANICS LIMITED ,-7.792207792,M30.SI,Materials,INFORMATICS EDUCATION LTD.,-8.695652174,BOU.SI,Consumer Discretionary,QIAN HU CORPORATION LIMITED ,-2.173913043,BCV.SI,Consumer Discretionary,SANLI ENVIRONMENTAL LIMITED ,-1.333333333,1E3.SI,Industrials,SEN YUE HOLDINGS LIMITED ,4.419889503,5BS.SI,Industrials,THE PLACE HOLDINGS LIMITED ,-9.375,E27.SI,Information Technology,MARCO POLO MARINE LTD. ,-7.142857143,5LY.SI,Industrials,SIN GHEE HUAT CORPORATION LTD.,-10,B7K.SI,Industrials
45,SAPPHIRE CORPORATION LIMITED ,3.703703704,BRD.SI,Industrials,MERCURIUS CAP INVESTMENT LTD,-6.818181818,5RF.SI,Consumer Discretionary,JACKSPEED CORPORATION LIMITED ,-30.18867925,J17.SI,Consumer Discretionary,RAMBA ENERGY LIMITED ,2.017291066,R14.SI,Industrials,SHANGHAI TURBO ENTERPRISES LTD,4.813359528,AWM.SI,Industrials,SHENG SIONG GROUP LTD ,29.62962963,OV8.SI,Consumer Staples,UNITED INDUSTRIAL CORP LTD ,0,U06.SI,Real Estate,MEMTECH INTERNATIONAL LTD,-1.075268817,BOL.SI,Information Technology,SINGAPORE AIRLINES LTD ,6.666666667,C6L.SI,Industrials
46,SBS TRANSIT LTD,22.64150943,S61.SI,Industrials,MERMAID MARITIME PUBLIC CO LTD,-28.92561983,DU4.SI,Energy,JARDINE MATHESON HLDGS LTD ,-4.455445545,J36.SI,Industrials,RIVERSTONE HOLDINGS LIMITED,17.94871795,AP4.SI,Industrials,SIA ENGINEERING CO LTD ,79.48717949,S59.SI,Industrials,SIN HENG HEAVY MACHINERY LTD,23.59550562,BKA.SI,Industrials,VIKING OFFSHORE AND MARINE LTD,3.007518797,557.SI,Energy,METAL COMPONENT ENGG LTD ,-9.333333333,5DX.SI,Industrials,SOILBUILD CONSTRUCTION GRP LTD ,1.212121212,S7P.SI,Industrials
47,SING HOLDINGS LIMITED ,-3.846153846,5IC.SI,Real Estate,MTQ CORPORATION LIMITED ,-33.14285714,M05.SI,Energy,JASON MARINE GROUP LIMITED,-2.597402597,5PF.SI,Industrials,SAMKO TIMBER LIMITED ,0.675675676,E6R.SI,Materials,SINGAPORE PRESS HLDGS LTD ,25.61576355,T39.SI,Consumer Discretionary,SINCAP GROUP LIMITED ,8.778625954,5UN.SI,Industrials,WORLD CLASS GLOBAL LIMITED,1.923076923,1E6.SI,Real Estate,MIYOSHI LIMITED,-17.80821918,M03.SI,Industrials,STAMFORD TYRES CORPORATIONLTD,0,S29.SI,Consumer Discretionary
48,STARBURST HOLDINGS LIMITED,4.521276596,40D.SI,Industrials,NAM LEE PRESSED METAL INDS LTD,-30.81395349,G0I.SI,Industrials,JASPER INVESTMENTS LIMITED ,-11.36363636,FQ7.SI,Energy,SAMUDERA SHIPPING LINE LTD ,4.255319149,S56.SI,Industrials,SINGAPORE REINSURANCE COR LTD ,54.54545455,S49.SI,Financials,SINGHAIYI GROUP LTD. ,13.92405063,5H0.SI,Real Estate,NA,NA,NA,NA,MONEYMAX FINANCIAL SERVICESLTD ,-13.88888889,5WJ.SI,Consumer Discretionary,TAT HONG HOLDINGS LTD ,7.142857143,T03.SI,Industrials
49,STARHUB LTD ,1.398601399,CC3.SI,Telecommunications,NICO STEEL HOLDINGS LIMITED,-16.27906977,5GF.SI,Materials,JEP HOLDINGS LTD.,-9.259259259,5FA.SI,Industrials,SATS LTD. ,8.797909408,S58.SI,Industrials,SINGAPURA FINANCE LTD ,16.16161616,S23.SI,Financials,SINGTEL ,15,Z74.SI,Telecommunications,NA,NA,NA,NA,NGSC LIMITED ,1.337792642,B07.SI,Telecommunications,TIONG SENG HOLDINGS LIMITED,13.33333333,BFI.SI,Industrials
50,SUTL ENTERPRISE LIMITED ,-2.222222222,BHU.SI,Information Technology,NSL LTD. ,-6.741573034,N02.SI,Materials,JIUTIAN CHEMICAL GROUP LIMITED,1.351351351,C8R.SI,Materials,SILVERLAKE AXIS LTD,16.53543307,5CP.SI,Information Technology,SOO KEE GROUP LTD.,2.283105023,42G.SI,Consumer Discretionary,SUNPOWER GROUP LTD. ,16.99623352,5GD.SI,Industrials,NA,NA,NA,NA,NTEGRATOR INTERNATIONAL LTD,-4.109589041,5HC.SI,Information Technology,TMC EDUCATION CORPORATION LTD,0,586.SI,Consumer Discretionary
51,TELECHOICE INTERNATIONAL LTD,25.6684492,T41.SI,Information Technology,OCEAN SKY INTERNATIONAL LTD,-4.838709677,1B6.SI,Real Estate,KENCANA AGRI LIMITED ,-25,BNE.SI,Consumer Staples,SINGAPORE POST LIMITED ,9.756097561,S08.SI,Industrials,SP CORPORATION LIMITED ,6.976744186,AWE.SI,Industrials,SUNTAR ECO-CITY LIMITED ,200,BKZ.SI,Healthcare,NA,NA,NA,NA,OXLEY HOLDINGS LIMITED ,-6.18556701,5UX.SI,Real Estate,UMS HOLDINGS LIMITED ,0,558.SI,Information Technology
52,THAI BEVERAGE PUBLIC CO LTD,50,Y92.SI,Consumer Staples,OLIVE TREE ESTATES LIMITED ,-4.819277108,1H2.SI,Materials,KIMLY LIMITED,-5.128205128,1D0.SI,Consumer Discretionary,SINGAPORE TECH ENGINEERING LTD,2.684563758,S63.SI,Industrials,TLV HOLDINGS LIMITED ,20,42L.SI,Consumer Discretionary,SUNVIC CHEMICAL HOLDINGS LTD,5.722070845,A7S.SI,Materials,NA,NA,NA,NA,P5 CAPITAL HOLDINGS LTD.,-4.516129032,5AI.SI,Industrials,UNITED OVERSEAS INSURANCE LTD,-1.428571429,U13.SI,Financials
53,UNITED FOOD HOLDINGS LIMITED,4.444444444,AZR.SI,Consumer Staples,PACIFIC CENTURY REGIONAL DEVTS,-20.32520325,P15.SI,Financials,KINGSMEN CREATIVES LTD,-11.11111111,5MZ.SI,Industrials,STAR PHARMACEUTICAL LIMITED ,-3.921568627,AYL.SI,Healthcare,TRANSCORP HOLDINGS LIMITED,32.35294118,T19.SI,Consumer Discretionary,TOP GLOVE CORPORATION BHD,9.565217391,BVA.SI,Healthcare,NA,NA,NA,NA,PAVILLON HOLDINGS LTD. ,-11.11111111,596.SI,Consumer Discretionary,WEIYE HOLDINGS LIMITED ,-0.4784689,BMA.SI,Real Estate
54,UOL GROUP LIMITED,43.75,U14.SI,Real Estate,PACIFIC STAR DEVELOPMENT LTD,-14.40677966,1C5.SI,Real Estate,KLW HOLDINGS LTD,30,504.SI,Industrials,STRACO CORPORATION LIMITED ,4.761904762,S85.SI,Consumer Discretionary,TUAN SING HOLDINGS LIMITED ,104.5454545,T24.SI,Real Estate,TUNG LOK RESTAURANTS 2000 LTD ,50.90909091,540.SI,Consumer Discretionary,NA,NA,NA,NA,PINE CAPITAL GROUP LIMITED ,7.317073171,ADJ.SI,Consumer Discretionary,YHI INTERNATIONAL LIMITED ,0,BPF.SI,Consumer Discretionary
55,VARD HOLDINGS LIMITED ,0,MS7.SI,Industrials,PAN HONG HOLDINGS GROUP LTD ,-6.25,P36.SI,Real Estate,KODA LTD ,-19.13043478,BJZ.SI,Consumer Discretionary,TIH LIMITED ,0,T55.SI,Financials,TYE SOON LTD,2.325581395,BFU.SI,Consumer Discretionary,WORLD PRECISION MACHINERY LTD,107.8947368,B49.SI,Industrials,NA,NA,NA,NA,ROWSLEY LTD.,-6.25,A50.SI,Financials,NA,NA,NA,NA
56,WILMAR INTERNATIONAL LIMITED ,24.65753425,F34.SI,Consumer Staples,PRUDENTIAL PLC,-3.765690377,K6S.SI,Financials,KOH BROTHERS GROUP LIMITED,-20.63492063,K75.SI,Industrials,TSH CORPORATION LIMITED ,22.22222222,574.SI,Consumer Discretionary,UNI-ASIA GROUP LIMITED ,7.079646018,CHJ.SI,Financials,YING LI INTL REAL ESTATE LTD ,10.2083375,5DM.SI,Real Estate,NA,NA,NA,NA,RYOBI KISO HOLDINGS LTD.,-9.803921569,BDN.SI,Industrials,NA,NA,NA,NA
57,WONG FONG INDUSTRIES LIMITED,10.6557377,1A1.SI,Industrials,QAF LTD ,-11.42857143,Q01.SI,Consumer Staples,KOON HOLDINGS LIMITED ,-5.940594059,5DL.SI,Industrials,VALLIANZ HOLDINGS LIMITED ,13.04347826,545.SI,Energy,UNUSUAL LIMITED,29.50819672,1D1.SI,Consumer Discretionary,YOMA STRATEGIC HOLDINGS LTD,26.60869565,Z59.SI,Real Estate,NA,NA,NA,NA,SAKAE HOLDINGS LTD. ,7.142857143,5DO.SI,Consumer Discretionary,NA,NA,NA,NA
58,YANLORD LAND GROUP LIMITED,1.115241636,Z25.SI,Real Estate,QT VASCULAR LTD.,-25,5I0.SI,Healthcare,LEY CHOON GROUP HLDG LIMITED,-2.463054187,Q0X.SI,Industrials,VALUEMAX GROUP LIMITED ,12.5,T6I.SI,Financials,WING TAI HLDGS LTD,4.416403785,W05.SI,Real Estate,ZHONGXIN FRUIT AND JUICE LTD ,0,5EG.SI,Consumer Staples,NA,NA,NA,NA,SERIAL SYSTEM LTD,6.25,S69.SI,Information Technology,NA,NA,NA,NA
59,YEO HIAP SENG LTD,13.2231405,Y03.SI,Consumer Staples,ROXY-PACIFIC HOLDINGS LIMITED,-13.67924528,E8Z.SI,Real Estate,LORENZO INTERNATIONAL LIMITED ,1.851851852,5IE.SI,Consumer Discretionary,YUUZOO CORPORATION LIMITED ,-5.404673825,AFC.SI,Information Technology,ZHONGMIN BAIHUI RETAIL GRP LTD,20,5SR.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,SEROJA INVESTMENTS LIMITED ,-4.807692308,IW5.SI,Industrials,NA,NA,NA,NA
60,NA,NA,NA,NA,S I2I LIMITED ,-9.734513274,BAI.SI,Telecommunications,MAXI-CASH FIN SVCS CORP LTD ,-14.28571429,5UF.SI,Financials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHANGRI-LA ASIA LIMITED ,0,S07.SI,Consumer Discretionary,NA,NA,NA,NA
61,NA,NA,NA,NA,SAMURAI 2K AEROSOL LIMITED,-5.172413793,1C3.SI,Materials,MEMORIES GROUP LIMITED ,0,1H4.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SINGAPORE EDEVELOPMENT LTD,-1.324503311,40V.SI,Industrials,NA,NA,NA,NA
62,NA,NA,NA,NA,SAN TEH LIMITED,0,S46.SI,Consumer Discretionary,MFG INTEGRATION TECHNOLOGY LTD,-5.901484074,M11.SI,Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SINGAPORE O&G LTD.,0,1D8.SI,Healthcare,NA,NA,NA,NA
63,NA,NA,NA,NA,SANTAK HOLDINGS LIMITED ,-12.08791209,580.SI,Industrials,MICRO-MECHANICS HOLDINGS,-10.08631985,5DD.SI,Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SINO GRANDNESS FOOD IND GP LTD,0,T4B.SI,Consumer Staples,NA,NA,NA,NA
64,NA,NA,NA,NA,SECURA GROUP LIMITED ,-3.021978022,43B.SI,Industrials,MUN SIONG ENGINEERING LIMITED ,-4,MF6.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SINOSTAR PEC HOLDINGS LIMITED,2.380952381,C9Q.SI,Energy,NA,NA,NA,NA
65,NA,NA,NA,NA,SEMBCORP INDUSTRIES LTD,-9.230769231,U96.SI,Industrials,MYP LTD. ,-0.584795322,F86.SI,Real Estate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SMARTFLEX HOLDINGS LTD,1.5625,5RE.SI,Information Technology,NA,NA,NA,NA
66,NA,NA,NA,NA,SHS HOLDINGS LTD.,-3.076923077,566.SI,Energy,NEW TOYO INT HLDGS LTD ,3.571428571,N08.SI,Materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,STARLAND HOLDINGS LIMITED ,-3.636363636,5UA.SI,Real Estate,NA,NA,NA,NA
67,NA,NA,NA,NA,SIIC ENVIRONMENT HOLDINGS LTD.,-8.474576271,BHK.SI,Utilities,NOBLE GROUP LIMITED ,-8.474576271,CGP.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUNNINGDALE TECH LTD ,-5.172413793,BHQ.SI,Industrials,NA,NA,NA,NA
68,NA,NA,NA,NA,SINARMAS LAND LIMITED ,-11.53846154,A26.SI,Real Estate,NOEL GIFTS INTERNATIONAL LTD,-17.14285714,543.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SUNRIGHT LTD,1.369863014,S71.SI,Information Technology,NA,NA,NA,NA
69,NA,NA,NA,NA,SINGAPORE MYANMAR INVESTCO LTD ,-51.80722892,Y45.SI,Industrials,NUTRYFARM INTERNATIONAL LTD,-45.72864322,AZT.SI,Consumer Staples,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TA CORPORATION LTD,0,PA3.SI,Industrials,NA,NA,NA,NA
70,NA,NA,NA,NA,SITRA HOLDINGS ,-12.5,5LE.SI,Consumer Discretionary,OKP HOLDINGS LIMITED ,0.900900901,5CF.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TALKMED GROUP LIMITED ,4.95049505,5G3.SI,Healthcare,NA,NA,NA,NA
71,NA,NA,NA,NA,SOON LIAN HOLDINGS LIMITED ,-9.855072464,5MD.SI,Industrials,PACC OFFSHORE SVCS HLDG LTD. ,-17.44186047,U6C.SI,Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TEE LAND LIMITED,-3.846153846,S9B.SI,Real Estate,NA,NA,NA,NA
72,NA,NA,NA,NA,SPINDEX INDUSTRIES LIMITED ,-6.849315068,564.SI,Industrials,PAN ASIAN HOLDINGS LIMITED ,-26.53061224,5EW.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THAKRAL CORPORATION LTD,3.846153846,AWI.SI,Consumer Discretionary,NA,NA,NA,NA
73,NA,NA,NA,NA,STRAITS TRADING CO. LTD ,-8.943089431,S20.SI,Materials,"PAN OCEAN CO., LTD.",-30.70175439,AZY.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TIONG WOON CORP HOLDING LTD,5.882352941,BQM.SI,Industrials,NA,NA,NA,NA
74,NA,NA,NA,NA,SWEE HONG LIMITED,-9.401709402,QF6.SI,Industrials,PCI LIMITED ,-16.21621622,P19.SI,Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TOP GLOBAL LIMITED,-9.545454545,BHO.SI,Real Estate,NA,NA,NA,NA
75,NA,NA,NA,NA,TAT SENG PACKAGING GROUP LTD ,-20.45454545,T12.SI,Materials,POLARIS LTD. ,0,5BI.SI,Telecommunications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TTJ HOLDINGS LIMITED ,-1.333333333,K1Q.SI,Industrials,NA,NA,NA,NA
76,NA,NA,NA,NA,TECKWAH INDUSTRIAL CORP LTD ,-4.615384615,561.SI,Industrials,Q & M DENTAL GROUP ,-54.83870968,QC7.SI,Healthcare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNION GAS HOLDINGS LIMITED ,-3.513513514,1F2.SI,Utilities,NA,NA,NA,NA
77,NA,NA,NA,NA,UNION STEEL HOLDINGS LIMITED,-25,BLA.SI,Industrials,REGAL INTERNATIONAL GROUP LTD. ,-20,UV1.SI,Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNITED GLOBAL LIMITED ,-11.76470588,43P.SI,Materials,NA,NA,NA,NA
78,NA,NA,NA,NA,UOB-KAY HIAN HOLDINGS LIMITED,-20.28985507,U10.SI,Financials,SHINVEST HOLDING LTD. ,-8.016877637,BJW.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UPP HOLDINGS LIMITED ,0,U09.SI,Materials,NA,NA,NA,NA
79,NA,NA,NA,NA,VALUETRONICS HOLDINGS LIMITED,-13.07692308,BN2.SI,Information Technology,SING INVESTMENTS & FINANCE LTD ,-9.677419355,S35.SI,Financials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VENTURE CORPORATION LIMITED ,4.166666667,V03.SI,Information Technology,NA,NA,NA,NA
80,NA,NA,NA,NA,VIBROPOWER CORPORATION LIMITED ,-30.55555556,BJD.SI,Industrials,SINGAPORE EXCHANGE LIMITED,-7.142857143,S68.SI,Financials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VICPLAS INTERNATIONAL LTD,-2.777777778,569.SI,Healthcare,NA,NA,NA,NA
81,NA,NA,NA,NA,WHEELOCK PROPERTIES ,-2.58302583,M35.SI,Real Estate,SINGAPORE MEDICAL GROUP LTD ,-3.614457831,5OT.SI,Healthcare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEE HUR HOLDINGS LTD. ,0.653594771,E3B.SI,Industrials,NA,NA,NA,NA
82,NA,NA,NA,NA,WILTON RESOURCES CORP LIMITED ,-12.5,5F7.SI,Materials,SINGAPORE SHIPPING CORP LTD ,-9.420289855,S19.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,XMH HOLDINGS LTD.,-0.529100529,BQF.SI,Industrials,NA,NA,NA,NA
83,NA,NA,NA,NA,Y VENTURES GROUP LTD. ,-17.39130435,1F1.SI,Consumer Discretionary,SINOCLOUD GROUP LIMITED ,-3.225806452,5EK.SI,Information Technology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YONGMAO HOLDINGS LIMITED ,0,BKX.SI,Industrials,NA,NA,NA,NA
84,NA,NA,NA,NA,YANGZIJIANG SHIPBLDG HLDGS LTD,-2.608695652,BS6.SI,Industrials,SINWA LIMITED,-6.666666667,5CN.SI,Industrials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,YONGNAM HOLDINGS LIMITED ,1.818181818,AXB.SI,Industrials,SOUP RESTAURANT GROUP LIMITED,-2.222222222,5KI.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,SOUTHERN PACKAGING GROUP LTD ,-6.598984772,BQP.SI,Materials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,SRI TRANG AGRO-INDUSTRY PCL,-6.603773585,NC2.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,STAMFORD LAND CORPORATION LTD,-11.11111111,H07.SI,Consumer Discretionary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
