"","Name","Cluster","Percent_Change","Symbol","Industry"
"72","CHINA MEDICAL ",2,-6.36363636363637,"5IB.SI","Industrials"
"73","CHINA TAISAN TECH GRP HLDGSLTD",2,-13.0434782608696,"AZW.SI","Consumer Discretionary"
"74","CHINESE GLOBAL INVESTORS GRP",2,-3.22580645161291,"5CJ.SI","Industrials"
"75","CHIP ENG SENG CORPORATION LTD",2,-14,"C29.SI","Industrials"
"76","CHUAN HUP HOLDINGS LIMITED",2,-6.9672131147541,"C33.SI","Information Technology"
"77","CITY DEVELOPMENTS LIMITED ",2,-3.3195020746888,"C09.SI","Real Estate"
"78","CWG INTERNATIONAL LTD. ",2,-12,"ACW.SI","Real Estate"
"79","CWX GLOBAL LIMITED",2,-22.9885057471264,"594.SI","Energy"
"80","DYNAMIC COLOURS LIMITED ",2,-3.84615384615384,"D6U.SI","Materials"
"81","ENVIRO-HUB HOLDINGS LTD",2,-4.80349344978165,"L23.SI","Materials"
"82","ES GROUP (HOLDINGS)",2,-16.9117647058824,"5RC.SI","Industrials"
"83","EUROSPORTS GLOBAL LIMITED ",2,-1.69491525423729,"5G1.SI","Consumer Discretionary"
"84","FAR EAST GROUP LIMITED ",2,-0.47619047619048,"5TJ.SI","Industrials"
"85","FIRST SPONSOR GROUP LIMITED",2,-17.3913043478261,"ADN.SI","Real Estate"
"86","GALLANT VENTURE LTD. ",2,-7.40740740740741,"5IG.SI","Industrials"
"87","GCCP RESOURCES LIMITED ",2,-6.74157303370787,"41T.SI","Materials"
"88","GENTING HONG KONG LIMITED ",2,-7.40740740740741,"S21.SI","Consumer Discretionary"
"89","GP INDUSTRIES LIMITED ",2,-2.76243093922652,"G20.SI","Information Technology"
"90","ISDN HOLDINGS LIMITED ",2,-3.73831775700935,"I07.SI","Industrials"
"91","ISEC HEALTHCARE LTD. ",2,-23.728813559322,"40T.SI","Healthcare"
"92","JARDINE CYCLE & CARRIAGE LTD",2,-66.6666666666667,"C07.SI","Consumer Discretionary"
"93","KARIN TECHNOLOGY HLDGS LIMITED",2,-15.5555555555556,"K29.SI","Information Technology"
"94","KEONG HONG HOLDINGS LIMITED",2,-8.25688073394496,"5TT.SI","Industrials"
"95","KEPPEL INFRA TRUST WEF 2015 ",2,-14.0583554376658,"A7RU.SI","Utilities"
"96","KOYO INTERNATIONAL LIMITED ",2,-27.2727272727273,"5OC.SI","Industrials"
"97","KRISENERGY LTD.",2,-17.6470588235294,"SK3.SI","Energy"
"98","LASSETERS INTL HOLDINGS LTD",2,-19.811320754717,"5EL.SI","Consumer Discretionary"
"99","LHN LIMITED ",2,-13.5135135135135,"41O.SI","Real Estate"
"100","LIFEBRANDZ LTD.",2,-47.2972972972973,"1D3.SI","Consumer Discretionary"
"101","LION ASIAPAC LTD",2,-26.0869565217391,"BAZ.SI","Materials"
"102","MDR LIMITED ",2,-27.5,"A27.SI","Information Technology"
"103","MEGHMANI ORGANICS LIMITED ",2,-7.7922077922078,"M30.SI","Materials"
"104","MERCURIUS CAP INVESTMENT LTD",2,-6.81818181818182,"5RF.SI","Consumer Discretionary"
"105","MERMAID MARITIME PUBLIC CO LTD",2,-28.9256198347107,"DU4.SI","Energy"
"106","MTQ CORPORATION LIMITED ",2,-33.1428571428571,"M05.SI","Energy"
"107","NAM LEE PRESSED METAL INDS LTD",2,-30.8139534883721,"G0I.SI","Industrials"
"108","NICO STEEL HOLDINGS LIMITED",2,-16.2790697674419,"5GF.SI","Materials"
"109","NSL LTD. ",2,-6.74157303370787,"N02.SI","Materials"
"110","OCEAN SKY INTERNATIONAL LTD",2,-4.83870967741936,"1B6.SI","Real Estate"
"111","OLIVE TREE ESTATES LIMITED ",2,-4.81927710843373,"1H2.SI","Materials"
"112","PACIFIC CENTURY REGIONAL DEVTS",2,-20.3252032520325,"P15.SI","Financials"
"113","PACIFIC STAR DEVELOPMENT LTD",2,-14.4067796610169,"1C5.SI","Real Estate"
"114","PAN HONG HOLDINGS GROUP LTD ",2,-6.24999999999999,"P36.SI","Real Estate"
"115","PRUDENTIAL PLC",2,-3.76569037656905,"K6S.SI","Financials"
"116","QAF LTD ",2,-11.4285714285714,"Q01.SI","Consumer Staples"
"117","QT VASCULAR LTD.",2,-25,"5I0.SI","Healthcare"
"118","ROXY-PACIFIC HOLDINGS LIMITED",2,-13.6792452830189,"E8Z.SI","Real Estate"
"119","S I2I LIMITED ",2,-9.73451327433627,"BAI.SI","Telecommunications"
"120","SAMURAI 2K AEROSOL LIMITED",2,-5.17241379310343,"1C3.SI","Materials"
"121","SAN TEH LIMITED",2,0,"S46.SI","Consumer Discretionary"
"122","SANTAK HOLDINGS LIMITED ",2,-12.0879120879121,"580.SI","Industrials"
"123","SECURA GROUP LIMITED ",2,-3.02197802197803,"43B.SI","Industrials"
"124","SEMBCORP INDUSTRIES LTD",2,-9.23076923076924,"U96.SI","Industrials"
"125","SHS HOLDINGS LTD.",2,-3.07692307692308,"566.SI","Energy"
"126","SIIC ENVIRONMENT HOLDINGS LTD.",2,-8.47457627118643,"BHK.SI","Utilities"
"127","SINARMAS LAND LIMITED ",2,-11.5384615384615,"A26.SI","Real Estate"
"128","SINGAPORE MYANMAR INVESTCO LTD ",2,-51.8072289156626,"Y45.SI","Industrials"
"129","SITRA HOLDINGS ",2,-12.5,"5LE.SI","Consumer Discretionary"
"130","SOON LIAN HOLDINGS LIMITED ",2,-9.85507246376811,"5MD.SI","Industrials"
"131","SPINDEX INDUSTRIES LIMITED ",2,-6.84931506849314,"564.SI","Industrials"
"132","STRAITS TRADING CO. LTD ",2,-8.9430894308943,"S20.SI","Materials"
"133","SWEE HONG LIMITED",2,-9.40170940170939,"QF6.SI","Industrials"
"134","TAT SENG PACKAGING GROUP LTD ",2,-20.4545454545454,"T12.SI","Materials"
"135","TECKWAH INDUSTRIAL CORP LTD ",2,-4.61538461538462,"561.SI","Industrials"
"136","UNION STEEL HOLDINGS LIMITED",2,-25,"BLA.SI","Industrials"
"137","UOB-KAY HIAN HOLDINGS LIMITED",2,-20.2898550724638,"U10.SI","Financials"
"138","VALUETRONICS HOLDINGS LIMITED",2,-13.0769230769231,"BN2.SI","Information Technology"
"139","VIBROPOWER CORPORATION LIMITED ",2,-30.5555555555555,"BJD.SI","Industrials"
"140","WHEELOCK PROPERTIES ",2,-2.5830258302583,"M35.SI","Real Estate"
"141","WILTON RESOURCES CORP LIMITED ",2,-12.5,"5F7.SI","Materials"
"142","Y VENTURES GROUP LTD. ",2,-17.3913043478261,"1F1.SI","Consumer Discretionary"
"143","YANGZIJIANG SHIPBLDG HLDGS LTD",2,-2.6086956521739,"BS6.SI","Industrials"
"144","YONGNAM HOLDINGS LIMITED ",2,1.81818181818182,"AXB.SI","Industrials"
"145","AA GROUP HOLDINGS LTD. ",3,-33.3333333333333,"5GZ.SI","Information Technology"
"146","ABR HOLDINGS LIMITED ",3,-13.0232558139535,"533.SI","Consumer Discretionary"
"147","ADVANCED HOLDINGS LTD. ",3,-13.8461538461538,"BLZ.SI","Energy"
"148","ADVANCER GLOBAL LIMITED ",3,-6.16438356164383,"43Q.SI","Industrials"
"149","ADVENTUS HOLDINGS LIMITED ",3,-4.97237569060774,"5EF.SI","Information Technology"
"150","AEI CORPORATION LTD ",3,-20.3125,"AWG.SI","Industrials"
"151","AEM HOLDINGS LTD",3,-11.1111111111111,"AWX.SI","Information Technology"
"152","AMPLEFIELD LIMITED",3,-5.35714285714286,"AOF.SI","Real Estate"
"153","ANNICA HOLDINGS LIMITED ",3,-8.82352941176471,"5AL.SI","Energy"
"154","AP OIL INTERNATIONAL LIMITED ",3,0.52910052910053,"5AU.SI","Materials"
"155","ARION ENTERTAINMENT SING LTD ",3,-6.06060606060607,"5VU.SI","Consumer Discretionary"
"156","AUSGROUP LIMITED",3,-16.1290322580645,"5GJ.SI","Industrials"
"157","BAKER TECHNOLOGY LIMITED ",3,-9.30232558139534,"BTP.SI","Energy"
"158","BOLDTEK HOLDINGS LIMITED ",3,-8.25688073394496,"5VI.SI","Industrials"
