Name,Symbol,Industry
SINGAPORE PRESS HLDGS LTD ,T39.SI,Consumer Discretionary
SITRA HOLDINGS ,5LE.SI,Consumer Discretionary
SMJ INTERNATIONAL HOLDINGSLTD.,40B.SI,Consumer Discretionary
SOO KEE GROUP LTD.,42G.SI,Consumer Discretionary
SOUP RESTAURANT GROUP LIMITED,5KI.SI,Consumer Discretionary
SPACKMAN ENTERTAINMENT GRP LTD ,40E.SI,Consumer Discretionary
SRI TRANG AGRO-INDUSTRY PCL,NC2.SI,Consumer Discretionary
STAMFORD LAND CORPORATION LTD,H07.SI,Consumer Discretionary
STAMFORD TYRES CORPORATIONLTD,S29.SI,Consumer Discretionary
STRACO CORPORATION LIMITED ,S85.SI,Consumer Discretionary
THAKRAL CORPORATION LTD,AWI.SI,Consumer Discretionary
THE HOUR GLASS LIMITED ,AGS.SI,Consumer Discretionary
TLV HOLDINGS LIMITED ,42L.SI,Consumer Discretionary
TMC EDUCATION CORPORATION LTD,586.SI,Consumer Discretionary
TRANSCORP HOLDINGS LIMITED,T19.SI,Consumer Discretionary
TRAVELITE HOLDINGS LTD. ,BCZ.SI,Consumer Discretionary
TSH CORPORATION LIMITED ,574.SI,Consumer Discretionary
TT INTERNATIONAL LIMITED ,T09.SI,Consumer Discretionary
TUNG LOK RESTAURANTS 2000 LTD ,540.SI,Consumer Discretionary
TYE SOON LTD,BFU.SI,Consumer Discretionary
UNUSUAL LIMITED,1D1.SI,Consumer Discretionary
VASHION GROUP LTD.,1F4.SI,Consumer Discretionary
Y VENTURES GROUP LTD. ,1F1.SI,Consumer Discretionary
YHI INTERNATIONAL LIMITED ,BPF.SI,Consumer Discretionary
ZHONGMIN BAIHUI RETAIL GRP LTD,5SR.SI,Consumer Discretionary
BEST WORLD INTERNATIONAL LTD,CGN.SI,Consumer Staples
BREADTALK GROUP LIMITED ,5DA.SI,Consumer Staples
BUMITAMA AGRI LTD.,P8Z.SI,Consumer Staples
CHEW'S GROUP LIMITED ,5SY.SI,Consumer Staples
CHINA ESSENCE GROUP LTD. ,G54.SI,Consumer Staples
CHINA FISHERY GROUP LIMITED,B0Z.SI,Consumer Staples
CHINA KANGDA FOOD COMPANY LTD,P74.SI,Consumer Staples
CHINA STAR FOOD GROUP LIMITED,42W.SI,Consumer Staples
