Name,Symbol,Industry
SINGAPORE MYANMAR INVESTCO LTD ,Y45.SI,Industrials
SINGAPORE POST LIMITED ,S08.SI,Industrials
SINGAPORE SHIPPING CORP LTD ,S19.SI,Industrials
SINGAPORE TECH ENGINEERING LTD,S63.SI,Industrials
SINWA LIMITED,5CN.SI,Industrials
SOILBUILD CONSTRUCTION GRP LTD ,S7P.SI,Industrials
SOON LIAN HOLDINGS LIMITED ,5MD.SI,Industrials
SP CORPORATION LIMITED ,AWE.SI,Industrials
SPINDEX INDUSTRIES LIMITED ,564.SI,Industrials
STARBURST HOLDINGS LIMITED,40D.SI,Industrials
SUNNINGDALE TECH LTD ,BHQ.SI,Industrials
SUNPOWER GROUP LTD. ,5GD.SI,Industrials
SUNRISE SHARES HOLDINGS LTD.,581.SI,Industrials
SWEE HONG LIMITED,QF6.SI,Industrials
SYSMA HOLDINGS LIMITED ,5UO.SI,Industrials
TA CORPORATION LTD,PA3.SI,Industrials
TAI SIN ELECTRIC LIMITED ,500.SI,Industrials
TAT HONG HOLDINGS LTD ,T03.SI,Industrials
TECKWAH INDUSTRIAL CORP LTD ,561.SI,Industrials
TEE INTERNATIONAL LIMITED ,M1Z.SI,Industrials
TEHO INTERNATIONAL INC LTD. ,5OQ.SI,Industrials
TIONG SENG HOLDINGS LIMITED,BFI.SI,Industrials
TIONG WOON CORP HOLDING LTD,BQM.SI,Industrials
TRITECH GROUP LIMITED ,5G9.SI,Industrials
TRIYARDS HOLDINGS LIMITED ,RC5.SI,Industrials
TTJ HOLDINGS LIMITED ,K1Q.SI,Industrials
UNION STEEL HOLDINGS LIMITED,BLA.SI,Industrials
UNITED ENGINEERS LTD ORD ,U04.SI,Industrials
VARD HOLDINGS LIMITED ,MS7.SI,Industrials
VERSALINK HOLDINGS LIMITED,40N.SI,Industrials
VIBRANT GROUP LIMITED ,BIP.SI,Industrials
VIBROPOWER CORPORATION LIMITED ,BJD.SI,Industrials
VICOM LTD ,V01.SI,Industrials
WEE HUR HOLDINGS LTD. ,E3B.SI,Industrials
WONG FONG INDUSTRIES LIMITED,1A1.SI,Industrials
WORLD PRECISION MACHINERY LTD,B49.SI,Industrials
XMH HOLDINGS LTD.,BQF.SI,Industrials
YANGZIJIANG SHIPBLDG HLDGS LTD,BS6.SI,Industrials
YANGZIJIANG SHIPBLDG HLDGS RMB ,SO7.SI,Industrials
YONGMAO HOLDINGS LIMITED ,BKX.SI,Industrials
YONGNAM HOLDINGS LIMITED ,AXB.SI,Industrials
YORKSHINE HOLDINGS LIMITED,MR8.SI,Industrials
ZICO HOLDINGS INC.,40W.SI,Industrials
8TELECOM INTL HOLDINGS CO LTD,AZG.SI,Information Technology
AA GROUP HOLDINGS LTD. ,5GZ.SI,Information Technology
ACCRELIST LTD.,5RJ.SI,Information Technology
ADDVALUE TECHNOLOGIES LTD,A31.SI,Information Technology
ADVANCED SYSTEMS AUTOMATION ,5TY.SI,Information Technology
ADVENTUS HOLDINGS LIMITED ,5EF.SI,Information Technology
AEM HOLDINGS LTD,AWX.SI,Information Technology
ANWELL TECHNOLOGIES LIMITED ,G5X.SI,Information Technology
ARTIVISION TECHNOLOGIES LTD.,5NK.SI,Information Technology
ASTI HOLDINGS LIMITED ,575.SI,Information Technology
AVI-TECH ELECTRONICS LIMITED ,BKY.SI,Information Technology
AZEUS SYSTEMS HOLDINGS LTD.,BBW.SI,Information Technology
BAN LEONG TECHNOLOGIES LIMITED ,B26.SI,Information Technology
BROADWAY INDUSTRIAL GROUP LTD ,B69.SI,Information Technology
CAPTII LIMITED,AWV.SI,Information Technology
CDW HOLDING LIMITED ,BXE.SI,Information Technology
CEI LIMITED ,AVV.SI,Information Technology
CHUAN HUP HOLDINGS LIMITED,C33.SI,Information Technology
CPH LTD ,539.SI,Information Technology
CREATIVE TECHNOLOGY LTD,C76.SI,Information Technology
CSE GLOBAL LTD,544.SI,Information Technology
DATAPULSE TECHNOLOGY LIMITED ,BKW.SI,Information Technology
DECLOUT LIMITED,5UZ.SI,Information Technology
DISA LIMITED ,532.SI,Information Technology
DRAGON GROUP INTL LIMITED ,MT1.SI,Information Technology
ELEC & ELTEK INT CO LTD ,E16.SI,Information Technology
ELLIPSIZ LTD ,BIX.SI,Information Technology
EUROPTRONIC GROUP LTD ,E23.SI,Information Technology
EXCELPOINT TECHNOLOGY LTD,BDF.SI,Information Technology
GLOBAL INVACOM GROUP LIMITED,QS9.SI,Information Technology
GLOBAL TESTING CORPORATION LTD,AYN.SI,Information Technology
GP INDUSTRIES LIMITED ,G20.SI,Information Technology
GRP LTD ,BLU.SI,Information Technology
GSH CORPORATION LIMITED ,BDX.SI,Information Technology
GSS ENERGY LIMITED,41F.SI,Information Technology
HI-P INTERNATIONAL LIMITED ,H17.SI,Information Technology
HUAN HSIN HOLDINGS LTD ,H16.SI,Information Technology
IFAST CORPORATION LTD. ,AIY.SI,Information Technology
INTERNATIONAL PRESS SOFTCOM,571.SI,Information Technology
IPS SECUREX HOLDINGS LIMITED,42N.SI,Information Technology
JADASON ENTERPRISES LTD,J03.SI,Information Technology
KARIN TECHNOLOGY HLDGS LIMITED,K29.SI,Information Technology
LCT HOLDINGS LIMITED ,BJL.SI,Information Technology
MARUWA CO. LTD,M12.SI,Information Technology
MDR LIMITED ,A27.SI,Information Technology
MEMTECH INTERNATIONAL LTD,BOL.SI,Information Technology
MFG INTEGRATION TECHNOLOGY LTD,M11.SI,Information Technology
MICRO-MECHANICS HOLDINGS,5DD.SI,Information Technology
MULTI-CHEM LIMITED,AWZ.SI,Information Technology
MURATA MFG CO. LTD 100 ,M20.SI,Information Technology
NERATELECOMMUNICATIONS LTD ,N01.SI,Information Technology
NTEGRATOR INTERNATIONAL LTD,5HC.SI,Information Technology
PCI LIMITED ,P19.SI,Information Technology
PLATO CAPITAL LIMITED ,5PI.SI,Information Technology
PNE INDUSTRIES LTD,BDA.SI,Information Technology
POWERMATIC DATA SYSTEMS LTD ,BCY.SI,Information Technology
PROCURRI CORPORATION LIMITED ,BVQ.SI,Information Technology
REGAL INTERNATIONAL GROUP LTD. ,UV1.SI,Information Technology
SERIAL SYSTEM LTD,S69.SI,Information Technology
SILVERLAKE AXIS LTD,5CP.SI,Information Technology
SINOCLOUD GROUP LIMITED ,5EK.SI,Information Technology
SMARTFLEX HOLDINGS LTD,5RE.SI,Information Technology
SUNRIGHT LTD,S71.SI,Information Technology
SUTL ENTERPRISE LIMITED ,BHU.SI,Information Technology
SWING MEDIA TECHNOLOGY GRP LTD ,BEV.SI,Information Technology
TELECHOICE INTERNATIONAL LTD,T41.SI,Information Technology
THE PLACE HOLDINGS LIMITED ,E27.SI,Information Technology
THE STRATECH GROUP LIMITED,BRR.SI,Information Technology
TPV TECHNOLOGY LIMITED ,T18.SI,Information Technology
TREK 2000 INT'L LTD,5AB.SI,Information Technology
UMS HOLDINGS LIMITED ,558.SI,Information Technology
VALUETRONICS HOLDINGS LIMITED,BN2.SI,Information Technology
VENTURE CORPORATION LIMITED ,V03.SI,Information Technology
WILLAS-ARRAY ELEC ,BDR.SI,Information Technology
YUUZOO CORPORATION LIMITED ,AFC.SI,Information Technology
ADVANCE SCT LIMITED ,5FH.SI,Materials
AGV GROUP LIMITED,1A4.SI,Materials
ALLIANCE MINERAL ASSETSLIMITED,40F.SI,Materials
ANCHOR RESOURCES LIMITED ,43E.SI,Materials
ANCHUN INTERNATIONAL HLDGS LTD ,BTX.SI,Materials
ANNAIK LIMITED,A52.SI,Materials
AP OIL INTERNATIONAL LIMITED ,5AU.SI,Materials
ASIAPHOS LIMITED,5WV.SI,Materials
BM MOBILITY LTD.,I9T.SI,Materials
CAPITAL WORLD LIMITED. ,1D5.SI,Materials
CHEMICAL INDUSTRIES FAR EAST,C05.SI,Materials
CHINA ENVIRONMENTAL RES GP LTD ,RS1.SI,Materials
CHINA MINING INTERNATIONAL LTD,BHD.SI,Materials
CHINA SUNSINE CHEM HLDGS LTD. ,CH8.SI,Materials
CNMC GOLDMINE HOLDINGS LIMITED,5TP.SI,Materials
DELONG HOLDINGS LIMITED ,BQO.SI,Materials
DYNAMIC COLOURS LIMITED ,D6U.SI,Materials
ENGRO CORPORATION LIMITED ,S44.SI,Materials
ENVIRO-HUB HOLDINGS LTD,L23.SI,Materials
FABCHEM CHINA LIMITED ,BFT.SI,Materials
FULL APEX ,BTY.SI,Materials
GCCP RESOURCES LIMITED ,41T.SI,Materials
INFINIO GROUP LIMITED ,5G4.SI,Materials
JIUTIAN CHEMICAL GROUP LIMITED,C8R.SI,Materials
KINGBOARD COPPER FOIL HDGS LTD,K14.SI,Materials
LEE METAL GROUP LTD ,593.SI,Materials
LHT HOLDINGS LIMITED ,BEI.SI,Materials
LION ASIAPAC LTD,BAZ.SI,Materials
LIONGOLD CORP LTD,A78.SI,Materials
LTC CORPORATION LIMITED ,L17.SI,Materials
MALAYSIA SMELTING CORP BHD 100,NC9.SI,Materials
MATEX INTERNATIONAL LIMITED ,M15.SI,Materials
MEGHMANI ORGANICS LIMITED ,M30.SI,Materials
MEMSTAR TECHNOLOGY LTD.,5MS.SI,Materials
MIDAS HLDGS LIMITED ,5EN.SI,Materials
NEW TOYO INT HLDGS LTD ,N08.SI,Materials
NICO STEEL HOLDINGS LIMITED,5GF.SI,Materials
NSL LTD. ,N02.SI,Materials
OLIVE TREE ESTATES LIMITED ,1H2.SI,Materials
ORIENTAL GROUP LTD. ,5FI.SI,Materials
SAMKO TIMBER LIMITED ,E6R.SI,Materials
SAMURAI 2K AEROSOL LIMITED,1C3.SI,Materials
SINJIA LAND LIMITED,5HH.SI,Materials
SOUTHERN PACKAGING GROUP LTD ,BQP.SI,Materials
STRAITS TRADING CO. LTD ,S20.SI,Materials
SUNVIC CHEMICAL HOLDINGS LTD,A7S.SI,Materials
TAT SENG PACKAGING GROUP LTD ,T12.SI,Materials
TRANSIT-MIXED CONCRETE LTD,570.SI,Materials
UNITED GLOBAL LIMITED ,43P.SI,Materials
UPP HOLDINGS LIMITED ,U09.SI,Materials
WILTON RESOURCES CORP LIMITED ,5F7.SI,Materials
3CNERGY LIMITED,502.SI,Real Estate
AIMS PROPERTY SECURITIES FUND,BVP.SI,Real Estate
AMPLEFIELD LIMITED,AOF.SI,Real Estate
APAC REALTY LIMITED,CLN.SI,Real Estate
ASCENDAS INDIA TRUST ,CY6U.SI,Real Estate
ASPEN GROUP,1F3.SI,Real Estate
ASPIAL CORPORATION LIMITED ,A30.SI,Real Estate
BUKIT SEMBAWANG ESTATES LTD ,B61.SI,Real Estate
BUND CENTER INVESTMENT LTD,BTE.SI,Real Estate
CAPITALAND LIMITED,C31.SI,Real Estate
CHINA YUANBANG PROP HLDGS LTD,BCD.SI,Real Estate
CITY DEVELOPMENTS LIMITED ,C09.SI,Real Estate
CWG INTERNATIONAL LTD. ,ACW.SI,Real Estate
DASIN RETAIL TRUST,CEDU.SI,Real Estate
DEBAO PROPERTY DEVELOPMENT LTD,BTF.SI,Real Estate
EMERGING TOWNS&CITIES SING LTD ,1C0.SI,Real Estate
FAR EAST ORCHARD LIMITED ,O10.SI,Real Estate
FIRST SPONSOR GROUP LIMITED,ADN.SI,Real Estate
FRAGRANCE GROUP LIMITED ,F31.SI,Real Estate
FRASERS PROPERTY LIMITED ,TQ5.SI,Real Estate
GOODLAND GROUP LIMITED ,5PC.SI,Real Estate
GUOCOLAND LIMITED,F17.SI,Real Estate
HATTEN LAND LIMITED ,PH0.SI,Real Estate
HEETON HOLDINGS LIMITED ,5DP.SI,Real Estate
HIAP HOE LIMITED,5JK.SI,Real Estate
HO BEE LAND LIMITED,H13.SI,Real Estate
HONG FOK CORPORATION LTD,H30.SI,Real Estate
HONGKONG LAND HOLDINGS LIMITED,H78.SI,Real Estate
HWA HONG CORPORATION LIMITED ,H19.SI,Real Estate
IMPERIUM CROWN LIMITED ,5HT.SI,Real Estate
IPC CORPORATION LIMITED ,AZA.SI,Real Estate
LAFE CORPORATION LIMITED ,AYB.SI,Real Estate
LHN LIMITED ,41O.SI,Real Estate
MYP LTD. ,F86.SI,Real Estate
OCEAN SKY INTERNATIONAL LTD,1B6.SI,Real Estate
OXLEY HOLDINGS LIMITED ,5UX.SI,Real Estate
PACIFIC STAR DEVELOPMENT LTD,1C5.SI,Real Estate
PAN HONG HOLDINGS GROUP LTD ,P36.SI,Real Estate
PERENNIAL REAL ESTATE HLDGSLTD,40S.SI,Real Estate
POLLUX PROPERTIES LTD. ,5AE.SI,Real Estate
ROXY-PACIFIC HOLDINGS LIMITED,E8Z.SI,Real Estate
SINARMAS LAND LIMITED ,A26.SI,Real Estate
SING HOLDINGS LIMITED ,5IC.SI,Real Estate
SINGHAIYI GROUP LTD. ,5H0.SI,Real Estate
STARLAND HOLDINGS LIMITED ,5UA.SI,Real Estate
TEE LAND LIMITED,S9B.SI,Real Estate
TOP GLOBAL LIMITED,BHO.SI,Real Estate
TUAN SING HOLDINGS LIMITED ,T24.SI,Real Estate
UNITED INDUSTRIAL CORP LTD ,U06.SI,Real Estate
UNITED OVERSEAS AUSTRALIA LTD,EH5.SI,Real Estate
UOL GROUP LIMITED,U14.SI,Real Estate
WEIYE HOLDINGS LIMITED ,BMA.SI,Real Estate
WHEELOCK PROPERTIES ,M35.SI,Real Estate
WING TAI HLDGS LTD,W05.SI,Real Estate
WORLD CLASS GLOBAL LIMITED,1E6.SI,Real Estate
YANLORD LAND GROUP LIMITED,Z25.SI,Real Estate
YING LI INTL REAL ESTATE LTD ,5DM.SI,Real Estate
YOMA STRATEGIC HOLDINGS LTD,Z59.SI,Real Estate
ACE ACHIEVE INFOCOM LIMITED,A75.SI,Telecommunications
M1 LIMITED ,B2F.SI,Telecommunications
NETLINK NBN TRUST,CJLU.SI,Telecommunications
NGSC LIMITED ,B07.SI,Telecommunications
POLARIS LTD. ,5BI.SI,Telecommunications
S I2I LIMITED ,BAI.SI,Telecommunications
SINGTEL ,Z74.SI,Telecommunications
STARHUB LTD ,CC3.SI,Telecommunications
YINDA INFOCOMM LIMITED ,42F.SI,Telecommunications
AUSNET SERVICES LTD ,AZI.SI,Utilities
C&G ENV PROTECT HLDGS LTD ,D79.SI,Utilities
CHINA EVERBRIGHT WATER LIMITED,U9E.SI,Utilities
CHINA INTERNATIONAL HLDGS LTD ,BEH.SI,Utilities
CHINA JINJIANG ENV HLDG CO LTD,BWM.SI,Utilities
HYFLUX LTD ,600.SI,Utilities
IPCO INT'L LIMITED,I11.SI,Utilities
KEPPEL INFRA TRUST WEF 2015 ,A7RU.SI,Utilities
RENEWABLE ENERGY ASIA GRP LTD,5DW.SI,Utilities
SIIC ENVIRONMENT HOLDINGS LTD.,BHK.SI,Utilities
UNION GAS HOLDINGS LIMITED ,1F2.SI,Utilities
